學校名稱,緯度,經度,校地面積總計,學生人數,人口密度 (人/頃),平均每人分封(m^2),註
文藻學校財團法人文藻外語大學,22.6702,120.3182,56870,9012,1585,6,
華夏學校財團法人華夏科技大學,24.98,121.5086,59646,4043,678,15,
慈濟學校財團法人慈濟科技大學,23.9967,121.5647,210049,3163,151,66,
致理學校財團法人致理科技大學,25.0211,121.4651,60257,11575,1921,5,
康寧學校財團法人康寧大學,25.0758,121.6098,265288,3465,131,77,
宏國學校財團法人宏國德霖科技大學,24.9723,121.4558,125660,5370,427,23,
東方學校財團法人東方設計大學,22.8807,120.2454,90144,2072,230,44,
崇右學校財團法人崇右影藝科技大學,25.1319,121.754,311644,2609,84,119,
台北海洋學校財團法人台北海洋科技大學,25.1921,121.4266,75335,4192,556,18,
中信學校財團法人中信金融管理學院,23.0639,120.1621,265257,825,31,322,
大漢技術學院,24.0392,121.6057,189052,999,53,189,
和春技術學院,22.608,120.4271,112497,688,61,164,
亞東技術學院,24.9953,121.4531,65921,4388,666,15,
南亞科技學校財團法人南亞技術學院,24.9374,121.2518,52393,3363,642,16,
稻江科技暨管理學院,25.056,121.5118,358350,276,8,1298,
蘭陽技術學院,24.865,121.8177,82300,513,62,160,
黎明技術學院,25.0658,121.4204,75229,5191,690,14,
經國管理暨健康學院,25.1509,121.729,121675,4221,347,29,
大同技術學院,23.4694,120.4642,122488,1137,93,108,
臺灣觀光學院,23.8587,121.4865,140340,268,19,524,
馬偕學校財團法人馬偕醫學院,25.2529,121.4967,192236,811,42,237,
法鼓學校財團法人法鼓文理學院,25.245,121.6174,299642,302,10,992,
馬偕學校財團法人馬偕醫護管理專科學校,25.1219,121.4645,137279,4106,299,33,
仁德醫護管理專科學校,24.6222,120.7808,60786,6515,1072,9,
樹人醫護管理專科學校,22.8811,120.261,148095,7279,492,20,
慈惠醫護管理專科學校,22.4861,120.4894,195875,3977,203,49,
耕莘健康管理專科學校,24.9771,121.5371,168123,4698,279,36,
敏惠醫護管理專科學校,23.2799,120.3288,122936,3936,320,31,
育英醫護管理專科學校,22.6501,120.3333,74491,1991,267,37,
聖母醫護管理專科學校,24.6645,121.7022,41772,2227,533,19,
新生醫護管理專科學校,24.8327,121.2067,114007,6064,532,19,
崇仁醫護管理專科學校,23.4639,120.4745,144430,3293,228,44,
臺北市立大學,25.037,121.5139,1319332,7986,61,165,
